Device,Management IP,Interface,Interface Status,Admin Status,Operational Status,Decom/Scream Test Candidate,Score Rate,VLAN,Mode,Native VLAN,Allowed VLANs,Circuit Vendor,Circuit IDs,Circuit Type,Circuit Directly Attached,Matched Keywords,Description,MAC Count,MAC Addresses,MAC Vendor,Device Type,Notes
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/6,notconnec,up,down,Yes,1,trunk,trunk,1,,Unknown,,,DDC-ISP-FW6,ISP,DDC-ISP-FW6 Eth2/2,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/7,connected,up,up,No,0,trunk,trunk,1,,Unknown,,,DDC1-B2B-FW6,B2B,DDC1-B2B-FW6 E1/20,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/8,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/10,notconnec,up,down,Yes,1,51,access,1,,Unknown,,,DDCPROXY,,DDCPROXY AV2,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/11,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/12,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/13,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/14,notconnec,up,down,Yes,1,51,access,1,,Unknown,,,DDCPROXY02,,DDCPROXY02 LAN mon,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/15,notconnec,up,down,Yes,1,1,access,1,,Unknown,,,DDC1-SPN-XSW4,,DDC1-SPN-XSW4 Port10,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/16,connected,up,up,No,0,1,access,1,,Unknown,,,DDC1-BMF-LSW2-port19-BigSwitch,,DDC1-BMF-LSW2-port19-BigSwitch,0,,Unknown,Unknown,Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
DDC1-ISP-DSW2,DDC1-ISP-DSW2,Eth2/17,sfpabsent,up,down,Yes,1,routed,,,,Unknown,,,--,,--,0,,Unknown,Unknown,Interface Down; Vendor Unknown; Circuit ID Missing; No MAC Addresses Learned
